Name,Content Set,Type,Solutions,Description
Local Printers,Core Content,Sensor,Tanium Core Content,Returns printers which are not connected via Network
Example: HP LaserJet 4400c,,,,
Local User Login Dates,Core Content,Sensor,Tanium Core Content,Returns the names and dates of the last users to log in.
Example: John.Doe 7/25/2012,,,,
Local User Password Change Dates,Core Content,Sensor,Tanium Core Content,Returns the last time the password was set for each user account.
Example: taniumuser|2013-10-31,,,,
Locale Code,Base,Sensor,Tanium Default Content,Returns the OS Locale Code from the installed operating system. This differs from the LCID returned in the OS language sensor.
Example:0409,,,,
Locally Administered MAC Address,Discover Content,Virtual Sensor,Discover Content,
Logged In Users,Base,Sensor,Tanium Default Content,Provides a list of users currently logged in to the client machine. Includes Remote Desktop sessions on Windows.
Example: Administrator,,,,
Logical Disk,Core Content,Sensor,Tanium Core Content,Logical disks installed on the endpoint
Example: D:&#124;D:&#124;AX2PXFPP_EEN|585 MB|197 MB|167 MB|Fixed|FAT32,,,,
Logical Volumes,Core Content,Sensor,Tanium Core Content,Returns the logical volume names on the endpoint.
Example: root,,,,
Login Hooks,Incident Response,Sensor,Tanium Threat Response,Returns the file name and path of a login hook script.
Example: /Library/Scripts/badStuff.sh,,,,
Logon Security Event Log Search,Incident Response,Sensor,Tanium Threat Response,Searches Windows Security Event log and equivalent logging sources on Mac for logon events.
Logout Hooks,Incident Response,Sensor,Tanium Threat Response,Returns the file name and path of logout hook script.
Example: /Library/Scripts/badStuff.sh,,,,
Low Disk Space,Core Content,Sensor,Tanium Core Content,Returns disk drives which have less than 2 gigabytes free.
Example: C:,,,,
MAC Address,Base,Sensor,Tanium Default Content,Returns MAC addresses for all IP enabled network connections.
Example:00:0C:29:68:6A:D8,,,,
Mac AutoRuns,Incident Response,Sensor,Tanium Threat Response,"Mac AutoRuns and their types, from known categories such as Launch Agents, Launch Daemons, Startup Items,"
"User Login Items, Kernel Extensions, etc ...",,,,
Mac Downloaded Files,Incident Response,Sensor,Tanium Threat Response,Queries the ~/Library/Preferences/com.apple.LaunchServices.QuarantineEvent* file for downloaded files.
Mac Firewall Settings,Incident Response,Sensor,Tanium Threat Response,Enumerate the firewall settings on MacOS
Mac Gatekeeper Settings,Incident Response,Sensor,Tanium Threat Response,Enumerate the Gatekeeper settings on MacOS
Mac Kext Details,Incident Response,Sensor,Tanium Threat Response,Allows you to find allowed kernel extensions on a Mac
macOS Screen Sharing Settings,Default,Sensor,Tanium Emerging Issues Content,"Returns if MacOS Screen Sharing is enabled or disabled, and if the VNC password option is enabled."
Manual Group Membership,Reserved,Sensor,Tanium Default Content,A list of manual group ids for internal use.
Example: 72,,,,
Manufacturer,Core Content,Sensor,Tanium Core Content,Returns System or Motherboard manufacturer (OS Dependent).
Example: Apple,,,,
Maximum Process Memory Size,Core Content,Sensor,Tanium Core Content,"Returns the maximum amount of memory, in Kilobytes, that a process can use. This may be free physical RAM and virtual RAM combined, or may be an arbitrary upper ceiling."
Example: 2097024,,,,
McAfee Agent Health,Core Content,Sensor,Tanium Core Content,"Determines McAfee Health based upon Last Communication Threshold, McAfee Agent Service Status and StartUp state. Each of these categories are also returned in the output."
McAfee Agent Last ASC Days,Core Content,Sensor,Tanium Core Content,Return Last Agent to Server Communication between the McAfee Agent and the EPO Server.
McAfee Agent Last Policy Update Days,Core Content,Sensor,Tanium Core Content,Return Last McAfee Agent Policy Update between the McAfee Agent and the EPO Server.
McAfee Agent Version,Core Content,Sensor,Tanium Core Content,Returns the McAfee Agent Version
Example: 4.6.0.2292,,,,
McAfee Status,Core Content,Sensor,Tanium Core Content,Returns whether or not the agent is installed and running
,,,,
Example:,,,,
Installed,,,,
Not Running,,,,
McAfee Status Details,Core Content,Sensor,Tanium Core Content,Provides service details for McAfee services on Windows endpoints.
McAfee VSE DAT Version,Core Content,Sensor,Tanium Core Content,Returns the version of the active McAfee VirusScan Enterprise DAT file.
Example: 6910,,,,
MD5 Hash Match Files Executing,Incident Response,Sensor,Tanium Threat Response,Retrieves a fully-qualified path of an executable file for a running process that matches the specified MD5 hash. Results also indicate if the file is executing.
MD5 Hash Of File,Incident Response,Sensor,Tanium Threat Response,Returns the MD5 hash for a file at a specified path.
MD5 Hash Single File Match,Incident Response,Sensor,Tanium Threat Response,Indicates whether the file at the specified path matches the specified MD5 hash.
MDM - Available Device Capacity,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Awaiting Configuration,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Device Capacity,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Device Config Profile Status,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Device Config Profile Status List,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Device Config Profile Status Summary,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Device ID,Mobile Device Management,Sensor,Tanium Mac Device Enrollment,Displays MDM device id.
MDM - Device Platform,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce Config Profile last updated In TDS Sequence,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce FileVault Enabled,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce FileVault Key Escrowed,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce FileVault Key Rotation Status,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce MDM FileVault Escrow Targeted,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce Targeted Device Configuration Profile,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce Targeted Device Configuration Profile List,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enforce Targeted Password Profile,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enrollment Email,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Enrollment Status,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Is Activation Lock Enabled,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Is Enrolled Via ABM,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Is Supervised,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Last Check In Date,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Last Seen Epoch Milliseconds,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - macOS Available OS Updates,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Model,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Model Name,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Operating System Version,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - OS Update Settings,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Password Config Profile Status,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - Product Info,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - UDID,Mobile Device Management,Virtual Sensor,Mobile Device Management,
MDM - User ID,Mobile Device Management,Virtual Sensor,Mobile Device Management,
Memory Consumption,Core Content,Sensor,Tanium Core Content,Returns the percentage of used (committed) memory on a system.
Example: 27 %,,,,
Microsoft Defender AntiMalware Details,AntiVirus,Sensor,Tanium Core Content,"Returns Microsoft Defender AntiMalware Versions, service enabled and service state status."
Example: 1.1.19600.3 | 4.18.2207.7 | True | Normal,,,,
Microsoft Defender AntiSpyware Details,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender AntiSpyware signature details and service enabled. Signature Age is in days.
"Example: True | 1 | Mon, 26 Sep 2022 19:00:00 +0000| 1.374.1089.0",,,,
Microsoft Defender AntiVirus Details,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender AntiVirus signature details and service enabled. Signature Age is in days.
"Example: True | 0 | Mon, 26 Sep 2022 19:00:00 +0000 | 1.374.1089.0",,,,
Microsoft Defender Attack Surface Reduction Rule ID Status,AntiVirus,Sensor,Tanium Core Content,Returns Enabled or Disabled depending on the Attack Surface Reduction Rule ID GUID enablement.
Example: Enabled,,,,
Microsoft Defender Computer ID,AntiVirus,Sensor,Tanium Core Content,Returns the Computer ID associated with Microsoft Defender.
Example: A5C31234-ASDF-1234-12AS-40ASD1234ASDF,,,,
Microsoft Defender Exclusion Tamper Protection Status,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Exclusion Tamper Protection Status Enabled|Disabled. Example: Enabled
Microsoft Defender Extension Exclusions,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Extension Exclusions
Example: pdf,,,,
Microsoft Defender FullScan Details,AntiVirus,Sensor,Tanium Core Content,"Returns Microsoft Defender FullScan age, overdue, required, signature version, start time and end time."
"Example: 89 | False | False | 1.369.468.0 | Wed, 29 Jun 2022 20:00:00 +0000 | Wed, 29 Jun 2022 20:00:00 +0000",,,,
Microsoft Defender Health Details,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Health Details True|False and Health Issues.
Example: False | Defender Signatures out of date,,,,
Microsoft Defender Installed,AntiVirus,Sensor,Tanium Core Content,Report True if Microsoft Defender is installed or False.
Example: True,,,,
Microsoft Defender IP Address Exclusions,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender IP Address Exclusions.
Example: 192.168.1.1,,,,
Microsoft Defender Network Inspection Service Details,AntiVirus,Sensor,Tanium Core Content,"Returns Microsoft Defender Network Inspection Service Status, Engine Version, Signature Age in Days, Signature Last Updated date, and Signature Version."
"Example: True | 1.1.19600.3 | 1 | Mon, 26 Sep 2022 07:00:00 +0000 | 1.375.1089.0",,,,
Microsoft Defender On Access Protection Status,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender On Access Protection Status Enabled|Disabled.
Example: Enabled,,,,
Microsoft Defender Org ID,AntiVirus,Sensor,Tanium Core Content,Returns the Org ID associated with Microsoft Defender.
Example: A5C31234-ASDF-1234-12AS-40ASD1234ASDF,,,,
Microsoft Defender Path Exclusions,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Path Exclusions
Example: /opt/Tanium/TaniumClient,,,,
Microsoft Defender Process Exclusions,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Process Exclusions
Example: TaniumClient.exe,,,,
Microsoft Defender QuickScan Details,AntiVirus,Sensor,Tanium Core Content,"Returns Microsoft Defender QuickScan age, overdue, signature version, start time and end time."
"Example: 3 | False | 1.375.867.0 | 1.375.867.0 | Fri, 23 Sep 2022 13:00:00 +0000 | Fri, 23 Sep 2022 13:00:00 +0000",,,,
Microsoft Defender Real-Time Protection Status,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Real-Time Protection Status Enabled|Disabled.
Example: Enabled,,,,
Microsoft Defender Tamper Protection Status,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender Tamper Protection Status Enabeld|Disabled.
Example: Enabled,,,,
Microsoft Defender Tanium Exclusion Status,Tanium Client Management,Sensor,Tanium Client Management,Returns True/False if the Tanium exclusions for Microsoft Defender are applied.
Example: True,,,,
Microsoft Defender Threat Details,AntiVirus,Sensor,Tanium Core Content,"Returns Microsoft Defender Threat Type, Severity, Execution Status, Active Status, Remediation Status, Resources."
"Example: Virus:DOS/EICAR_Test_File | 5 | True | quarantined | notepad.exe, eicar.com.txt, Tue, 01 Jan 2020 00:00:00 +0000",,,,
Microsoft Defender UI Lockdown Status,AntiVirus,Sensor,Tanium Core Content,Returns Microsoft Defender UI Lockdown Status Enabled|Disabled.
Example: Enabled,,,,
Microsoft Dot Net Details,Core Content,Sensor,Tanium Core Content,Details of installed Microsoft .Net components.
Model,Core Content,Sensor,Tanium Core Content,Returns the Model of a system.
Example: Precision T1600,,,,
Monitor Details,Core Content,Sensor,Tanium Core Content,Returns details of attached physical monitors.
"Example: Model Name, Serial Number, VESA Manufacturer ID, Manufacture Date",,,,
Monitor Resolution,Core Content,Sensor,Tanium Core Content,Returns details about connected displays.
"Example:1024 by 768 pixels, True Color, 60 Hertz",,,,
Motherboard Manufacturer,Core Content,Sensor,Tanium Core Content,Returns the Motherboard Manufacturer of a system.
Example:Lenovo,,,,
Motherboard Name,Core Content,Sensor,Tanium Core Content,Returns the motherboard product name of a system.
Example: 440BX Desktop Reference Platform,,,,
Motherboard Version,Core Content,Sensor,Tanium Core Content,Returns the Version of a motherboard.
Example:9230,,,,
Mutex Details,Incident Response,Sensor,Tanium Threat Response,"Returns details about a specified mutex object, including process, PID, user, handle ID, and mutex name."
Mutex Handles Of Process,Incident Response,Sensor,Tanium Threat Response,Returns the open handles to file mutex objects for a specified process. The parameter is a regular expression for a process name.
NAT IP Address,Discover Content,Sensor,Tanium Discover,Returns the IP Address of this client as seen from the Tanium Server. Example: 24.102.223.34
NET Version,Core Content,Sensor,Tanium Core Content,Returns the highest version number of all installed .NET.
Network Adapter Details,Core Content,Sensor,Tanium Core Content,Returns information on network adapters.
Example:Intel(R) Centrino(R) Ultimate-N 6300 AGN|Intel Corporation|Ethernet 802.3|00:24:D7:21:9C:70|65 Mbps|Wi-Fi,,,,
Network Adapter Name,Core Content,Sensor,Tanium Core Content,Returns the names of the network adapters.
Example: VMware Accelerated AMD PCNet Adapter,,,,
Network Adapter Type,Core Content,Sensor,Tanium Core Content,Returns the types of the network adapters.
Example: Ethernet,,,,
Network Adapters,Discover Content,Sensor,Tanium Discover,Returns a list of network adapter addresses. Example: 192.168.0.1|01-0C-03-4D-25-D8
Network Details,Incident Response,Sensor,Tanium Threat Response,Enumerates verbose network connection details
Network IP Gateway,Core Content,Sensor,Tanium Core Content,Returns the default gateway for all IP enabled network adapters.
Example: 192.168.10.254,,,,
Network Link Speed,Core Content,Sensor,Tanium Core Content,Returns the names and speeds of all network connections.
Example: WAN Miniport (IP) | 10000,,,,
Network Printer Details,Core Content,Sensor,Tanium Core Content,Returns the connected network printers.
Example: printer_name | driver | port,,,,
Network Printers,Core Content,Sensor,Tanium Core Content,Returns printers which are connected via Network
Example: HP LaserJet 4400c,,,,
Network Throughput Inbound,Core Content,Sensor,Tanium Core Content,"Returns the current inbound throughput, in KB/Sec, of the network interface used to connect to the tanium server."
Example: 1024 KB/S,,,,
Network Throughput Outbound,Core Content,Sensor,Tanium Core Content,"Returns the current output throughput, in KB/Sec, of the network interface used to connect to the tanium server."
Example: 1024 KB/S,,,,
Network Throughput Percentage,Core Content,Sensor,Tanium Core Content,"Returns the current throughput, as a percentage of total possible, of the network interface used to connect to the tanium server."
Example: 50%,,,,
Network Throughput Total,Core Content,Sensor,Tanium Core Content,"Returns the current total throughput, in KB/Sec, of the network interface used to connect to the tanium server."
Example: 2048 KB/S,,,,
No Screen Saver Password,Core Content,Sensor,Tanium Core Content,Returns the users which have no screen saver password set.
Example: Domain\John.Doe,,,,
Non-Approved Established Connections,Incident Response,Sensor,Tanium Threat Response,"Lists information about established connections that were opened by a prohibited process or to a prohibited destination. The Sensor definition can be modified to exclude process and IP range. Returns the process responsible for the connection, the display name of the process (if available), and the target IP Address and port."
Example: chrome.exe | Google Chrome | 173.194.79.99:80,,,,
Non-Approved Established Connections with Hash,Incident Response,Sensor,Tanium Threat Response,"Lists information about established connections that were opened by a prohibited process or to a prohibited destination. Returns the process responsible for the connection, the hash of the process, the display name of the process (if available), and the target IP Address and port. Processes and IP ranges can be excluded in the Sensor definition."
Number of Application Crashes in Last X Days,Core Content,Sensor,Tanium Core Content,Returns the number of application crashes that have occurred in the last number of days supplied to the sensor.
Example: 3,,,,
Number of Fixed Drives,Core Content,Sensor,Tanium Core Content,Returns the number of fixed drives installed in the system.
Example:4,,,,
Number of Logged In Users,Core Content,Sensor,Tanium Core Content,"Returns the number of interactively logged in users. On Windows, this will include Remote Desktop sessions."
Example: 2,,,,
Number of Processor Cores,Core Content,Sensor,Tanium Core Content,Returns the number of processor cores in all installed processors. Not supported on all OS patch levels.
Example:2,,,,
Number of Processors,Core Content,Sensor,Tanium Core Content,Returns the number of physical processors on a system. This may differ from the number of cores or number of logical processors.
Example:1,,,,
Number Of Users,Core Content,Sensor,Tanium Core Content,Returns the number of user sessions for which the operating system is storing state. This may differ from the number of interactively logged in users.
Example:3,,,,
Onboard Devices,Core Content,Sensor,Tanium Core Content,Returns the name of any device which is built into the motherboard.
Example: ES1371,,,,
Online,Reserved,Sensor,Tanium Default Content,"Returns, in all cases, the word True. This sensor is used in many ways, including to find a common target for machines which may have responded to a question with a 'where' clause - get ""online from machines where IP address starts with 192.168.10."" will allow you to target the respondents with an action or count responses."
Example:True,,,,
Online Random Sample,Base,Sensor,Tanium Default Content,"Sample your population. Return True for X % of online devices, False for 100-X% online devices. Can be used for targeting sample audiences, such as Tagging for phased roll-out or sampled analysis of index logs"
,,,,
Default for % sample is 5%,,,,
Default Max Age is 60 minutes,,,,
Example: True,,,,
Example: False,,,,
Open Port,Core Content,Sensor,Tanium Core Content,Returns the ports which are listening on a local machine and the IP address the port is bound to. 0.0.0.0 indicates that the port is bound to all IP addresses.
Example: 0.0.0.0:80,,,,
Open Ports,Discover Content,Sensor,Tanium Discover,"Returns the top 1000 (according to Nmap) open tcp ports. Example: 135,443,445,902,912,1536,1537,1538,1539,1566"
Open Share Details,Core Content,Sensor,Tanium Core Content,Returns a set of columns with details about open shares on a machine.
Example: name | path | status | type | permissions,,,,
Open Share Inventory Status,Core Content,Sensor,Tanium Core Content,The status of the Open Share Inventory package used to collect details of shares on endpoints.
The Status column shows general Completed or Failed results.,,,,
"If the action had a failure, the Status Reason column might contain information of what failure occurred.",,,,
If Run Time returns a negative number:,,,,
-1 = The inventory status file has an invalid WhenStarted date,,,,
-2 = The inventory status file has an invalid WhenCompleted date,,,,
-3 = Determining the action runtime resulted in an invalid negative value,,,,
Open Shares,Core Content,Sensor,Tanium Core Content,Returns information about shares on a PC.
Example: SHARENAME,,,,
Operating System,Reserved,Sensor,Tanium Default Content,Returns the name of the Operating System from all machines. This name may be localized.
Example: Windows Server 2008 R2 Enterprise,,,,
Operating System Boot Directory,Core Content,Sensor,Tanium Core Content,Returns the directory the Operating System boots from.
Example:\Windows,,,,
Operating System Build Number,Core Content,Sensor,Tanium Core Content,Returns the build number of the installed operating system.
Example:7601,,,,
Operating System Edition,Core Content,Sensor,Tanium Core Content,Returns the edition of the installed operating system.
Example: Enterprise,,,,
Operating System Full Build Number,Default,Sensor,"Tanium Deploy, Tanium Patch","Returns the Build Number, and UBR."
Example: 14393.576,,,,
Operating System Generation,Base,Sensor,Tanium Default Content,Returns the generation of the Operating System from all machines.
"Examples: Windows 10, Windows Server 2008 R2, Red Hat Enterprise Linux Server 6, Mac OS X 10.14",,,,
Operating System Install Date,Core Content,Sensor,Tanium Core Content,Returns the date the OS was installed.
Example: 8/24/2012,,,,
Operating System Language,Base,Sensor,Tanium Default Content,Returns the OS language along with any Language Packs installed.
Example: English-United States en-US,,,,
Operating System Language Code,Base,Sensor,Tanium Default Content,Returns the Language Code (LCID) of the Operating System. This differs from the Locale Code returned in the Locale Code sensor.
Example: 1033,,,,
Operating System SKU,Base,Sensor,Tanium Default Content,Returns the Operating System SKU value.
Examples: 48,,,,
Operating System Temp Directory,Core Content,Sensor,Tanium Core Content,Returns the gobal temp directory of the Operating System.
Example: C:\Temp,,,,
Organization,Core Content,Sensor,Tanium Core Content,Returns the Organization defined at OS install time.
Example: YourCorp,,,,
Original Filename,Incident Response,Sensor,Tanium Threat Response,"Gathers the original filename for that binary on disk. This is a potential indicator that someone has renamed a legitimate binary. For example, copying and renaming the cmd.exe binary to a different location in an attempt to avoid detection"
OS Boot Time,Core Content,Sensor,Tanium Core Content,Returns the Date and Time that the OS last booted in UTC.
"Example: Mon, 05 Jan 2015 15:17:59 +0000",,,,
OS Platform,Reserved,Sensor,Tanium Default Content,Returns the platform of the operating system. Example: Windows
Out of Date Antivirus Benchmark Metric,Benchmark,Virtual Sensor,Benchmark,Out of Date Antivirus Data
Outlook Version,Core Content,Sensor,Tanium Core Content,Returns the version of Microsoft Office Outlook installed.
"Example: Outlook 2003, Version: 11.0",,,,
Packet Loss,Core Content,Sensor,Tanium Core Content,Returns data about percent of packet loss on Windows machines.
Example: 5 %,,,,
Page File Details,Core Content,Sensor,Tanium Core Content,"Returns information about the Page File(s) on a Windows system. Path, initial size, maximum size, size on disk, current used, and peak used."
,,,,
Example: C:\pagefile.sys|3050 MB|3050 MB|3050 MB|413 MB|517 MB,,,,
Parentless Processes,Incident Response,Sensor,Tanium Threat Response,"Returns any running processes that do not have a parent process, or top level processes."
"Example: ""cmd.exe""",,,,
Patch - Applicable Patch Count,Patch Content Set,Sensor,Tanium Patch,Returns the count of all applicable patches.
Patch - Applicable Patches by Year,Patch Service Objects,Sensor,Tanium Patch,Returns a row for every applicable patch on an endpoint
Example: MSXML 6.0 RTM Security Update (925673)|Critical|4/4/2012|KB925673|False|Windows|Windows Server 2012 R2|Security Updates,,,,
Patch - Block Lists,Patch Service Objects,Sensor,Tanium Patch,Returns the enforcement status for Block Lists
,,,,
Example:,,,,
Type|ID|Status|Reason|OS|Version,,,,
Block List|1|Enforced||Windows|1,,,,
Patch - Coverage Status,Patch Service Objects,Sensor,Tanium Patch,"Returns ""Optimal"" if Patch is installed and running, ""Needs Attention"" if Patch is not installed or is not healthy, ""Unsupported"" if the operating system is not supported, and Initializing if the system is in the process of installing tools or running the first scan."
Patch - Coverage Status Details,Patch Service Objects,Sensor,Tanium Patch,"Returns ""Optimal"" if Patch is installed and running, ""Needs Attention"" if Patch is not installed or is not healthy, ""Unsupported"" if the operating system is not supported, and Initializing if the system is in the process of installing tools or running the first scan. Provides additional details for systems have a ""Needs Attention"" status to help administrators resolve client health issues."
Patch - Deployment Errors,Patch Service Objects,Sensor,Tanium Patch,Returns error messages for Deployments defined in the Patch Workbench
,,,,
Example:,,,,
Deployment Id|Patch UID|Error Number|Error Message,,,,
1|9876abcde|4|Failed,,,,
2|0|-214123445|WU_ERROR_MSG,,,,
3|0|9|Install Script Failed,,,,
Patch - Deployment Results,Patch Service Objects,Sensor,Tanium Patch,Returns the deployment results for deployments defined in the Patch Workbench
,,,,
Example:,,,,
Deployment Id|Patch UID|Patch Title|Result|Severity|Release Date|KB Articles,,,,
1|9876abcde|Some Patch Title|Succeeded|Critical|01/01/2020|222231,,,,
1|abcd9876e|Another Patch Title|Succeeded with Errors|Critical|01/01/2020|211231,,,,
2|cd76e1234|Failed Patch Title|Failed|Critical|01/01/2020|225231,,,,
Patch - Deployment Statuses,Patch Service Objects,Sensor,Tanium Patch,Returns the deployment statuses for deployments defined in the Patch Workbench
,,,,
Example:,,,,
ID|Parent Status|Status|Currently Targeted,,,,
"1|Complete|Complete, All Patches Applied|Yes",,,,
"2|Complete|Error, No Patches Applied|No",,,,
Patch - Direct Download Statuses,Patch Service Objects,Sensor,Tanium Patch,Returns download statuses for endpoints that download update files from the internet
,,,,
Example:,,,,
Patch1|Patch Title 1|Patch URL 1|Succeeded|...,,,,
Patch2|Patch Title 2|Patch URL 2|In Progress|...,,,,
Patch - Enforcement Status,Patch Service Objects,Sensor,Tanium Patch,Returns the enforcement status for Blacklists and Scan Configurations defined in the Patch Workbench
,,,,
Example:,,,,
Type|ID|Status|Reason,,,,
Scan Configuration|1|Enforced|,,,,
Scan Configuration|2|Unenforced|Scan Configuration Not Found,,,,
Blacklist|1|Enforced|,,,,
Patch - Has Aged Applicable Patches,Patch Service Objects,Sensor,Tanium Patch,Returns a Yes/No answer for the question of whether the system has applicable patches that meet the specified Patch Age and Severity parameters.
Patch - Has Antivirus Compatibility Registry Key,Patch Service Objects,Sensor,Tanium Patch,Returns Yes or No if the QualityCompat registry setting that informs future patches that antivirus software was updated is set.
Patch - Has Enforced Maintenance Window,Patch Service Objects,Sensor,Tanium Patch,Returns Yes or No if a maintenance window policy is enforced on the endpoint.
Patch - Has Enforced Scan Configuration,Patch Service Objects,Sensor,Tanium Patch,Returns Yes or No if a scan configuration is being enforced.
Patch - Has Recent Scan Results,Patch Service Objects,Sensor,Tanium Patch,Returns a Yes/No answer for the question of whether the system has Patch scan results within the specified Scan Age Days.
Patch - In Maintenance Window,Patch Service Objects,Sensor,Tanium Patch,"Returns ""Yes"" for an active maintenance window, ""No"" if outside of all maintenance windows, or ""No Maintenance Windows Enforced"" if the endpoint has no maintenance windows"
Patch - Incompatible Configurations,Patch Service Objects,Sensor,Tanium Patch,Returns all incompatible configurations from ECF
,,,,
Example:,,,,
Data Category|ID|Compatibility Status,,,,
deployment|5|Not Supported,,,,
patch-list|7|Not Fully Supported,,,,
Patch - Installation State,Patch Service Objects,Sensor,Tanium Patch,"Returns a row for every applicable patch on an endpoint, and indicates whether it's installed or required."
,,,,
Example: a5aa3417baf0e1e0672dd70abacee6ea|MSXML 6.0 RTM Security Update (925673)|Not Installed|True|Critical|4/4/2012|MS06-061|1853208|07609d43-d518-4e77-856e-d1b316d1b8a8|KB925673|CVE-2006-4686 CVE-2006-4685|http://www.download.windowsupdate.com/msdownload/update/v3-19990518/cabpool/msxml6-kb925673-enu-amd64_cc347d98b9fe1e417cb73f0ddf004d1f94a4bfcf.exe|msxml6-kb925673-enu-amd64_cc347d98b9fe1e417cb73f0ddf004d1f94a4bfcf.exe|False|Windows|Windows Server 2012 R2|Security Updates,,,,
Patch - Is Process Running,Patch Service Objects,Sensor,Tanium Patch,Is the Patch process running on this endpoint? Example: Yes
Patch - Last Scan Duration,Patch Content Set,Sensor,Tanium Patch,Returns the last scan duration rounded up to the nearest 30 seconds
Example: 1:30,,,,
Patch - Maintenance Windows,Patch Service Objects,Sensor,Tanium Patch,Returns the enforcement status for Maintenance Windows
,,,,
Example:,,,,
Type|ID||Status|Reason|OS|Version,,,,
Maintenance Window|1|Enforced||Windows|1,,,,
Patch - Mean Time to Patch,Patch Service Objects,Sensor,Tanium Patch,Returns Mean Time to Patch from an endpoint
Patch - Offline CAB Build Date,Patch Content Set,Sensor,Tanium Patch,"The sensor returns the ""Date"" for the ""index.xml"" file inside the wsusscn2.cab (""CAB"") file. Generally, the timestamp for the ""index.xml"" file is the day prior to ""Patch Tuesday."" This sensor is only applicable if the Offline CAB scan type is configured & deployed."
Patch - Offline CAB Days Old,Patch Content Set,Sensor,Tanium Patch,"The sensor returns the ""Days Old"" for the ""index.xml"" file inside the wsusscn2.cab (""CAB"") file. Generally, the timestamp for the ""index.xml"" file is the day prior to ""Patch Tuesday."" This sensor is only applicable if the Offline CAB scan type is configured & deployed. ""Days Old"" provides the a numeric response of the days between the CAB file timestamp and the current date."
Patch - Patch Downloads,Patch Service Objects,Sensor,Tanium Patch,Returns the status for Tanium file downloads initiated by Patch deployments.
,,,,
Example:,,,,
Deployment IDs|Tanium UID|Patch URL|Status,,,,
1|09fa665904c554959b822222c203d444|https://path/to/patch/file|Complete,,,,
2|fe320b179031f7b18942d0b4af98180f|https://path/to/patch/file|Requested,,,,
Patch - Patch List Applicability,Patch Service Objects,Sensor,Tanium Patch,Returns a row for every unique patch showing the lists that it matches
,,,,
Example:,,,,
"1,2,4|Patch1|...",,,,
1|Patch2|...,,,,
"1,3,4|Patch3|...",,,,
Patch - Patch List Applicability Results,Patch Service Objects,Sensor,Tanium Patch,Returns a row for every unique patch showing the lists that it matches
,,,,
Example:,,,,
"1,2,4|Patch1|...",,,,
1|Patch2|...,,,,
"1,3,4|Patch3|...",,,,
Patch - Patch List Compliance,Patch Service Objects,Sensor,Tanium Patch,Returns endpoint compliance with respect to each Patch List defined. Example:
1|All Patches|26-50 missing|Windows,,,,
1|All Patches|11-25 missing|Windows,,,,
3|Core Patches - QA|1-5 missing|Windows,,,,
4|Core Patches - Prod|Compliant|Windows,,,,
4|All Patches|1-5 missing|Red Hat,,,,
Patch - Patch Process Options,Patch Service Objects,Sensor,Tanium Patch,Returns the values of all Patch Process Options (returns the default value if no override is configured)
